,FEATURE_CLASS,freq,NATURAL,MANMADE,TOTALFEATURE
1,Airport,1116,0,1,1
2,Arch,79,1,0,1
3,Area,284,1,0,1
4,Arroyo,2,1,0,1
5,Bar,274,1,0,1
6,Basin,510,1,0,1
7,Bay,422,1,0,1
8,Beach,275,1,0,1
9,Bench,32,0,1,1
10,Bend,108,1,0,1
11,Bridge,160,0,1,1
12,Building,9368,0,1,1
13,Canal,2305,0,1,1
14,Cape,663,1,0,1
15,Cemetery,958,0,1,1
16,Census,1102,0,1,1
17,Channel,104,0,1,1
18,Church,10152,0,1,1
19,Civil,1626,0,1,1
20,Cliff,182,1,0,1
21,Crater,25,1,0,1
22,Crossing,1511,0,1,1
23,Dam,1467,0,1,1
24,Falls,179,1,0,1
25,Flat,2645,1,0,1
26,Forest,45,1,0,1
27,Gap,679,1,0,1
28,Glacier,20,1,0,1
29,Gut,202,1,0,1
30,Harbor,103,0,1,1
31,Hospital,1114,0,1,1
32,Island,518,1,0,1
33,Isthmus,1,1,0,1
34,Lake,2674,1,0,1
35,Lava,16,1,0,1
36,Levee,23,0,1,1
37,Locale,14401,0,1,1
38,Military,314,0,1,1
39,Mine,3353,0,1,1
40,Oilfield,130,0,1,1
41,Park,6947,0,1,1
42,Pillar,306,0,1,1
43,Plain,26,1,0,1
44,Populated Place,7141,0,1,1
45,Post Office,1806,0,1,1
46,Range,354,1,0,1
47,Rapids,10,1,0,1
48,Reserve,272,0,1,1
49,Reservoir,1363,0,1,1
50,Ridge,1768,1,0,1
51,School,12975,0,1,1
52,Sea,1,1,0,1
53,Slope,47,1,0,1
54,Spring,3077,1,0,1
55,Stream,9886,1,0,1
56,Summit,5634,1,0,1
57,Swamp,123,1,0,1
58,Tower,962,0,1,1
59,Trail,1190,0,1,1
60,Tunnel,131,0,1,1
61,Valley,7611,1,0,1
62,Well,250,0,1,1
63,Woods,200,1,0,1
